indicador;Indicador;Estimativa 2027;Limite inferior 95%;Limite superior 95%;estimativa_num;limite_inferior_num;limite_superior_num;erro_medio_absoluto
novos_projetos_contratados;Projetos contratados no ano;823;745;921;822,9777777777779;745,4774873737374;921,210643939394;8,751817444518176
valor_projetos_contratados;Valor contratado no ano;R$ 1.458.563.844;R$ 1.249.184.914;R$ 1.802.042.603;1458563844,3451526;1249184913,993277;1802042603,37675;25221119,937854465
projetos_concluidos;Projetos concluídos no ano;332;257;411;331,6525252525237;257,3669696969688;410,6003030303021;8,678780505787811
